word,frequency
love,690
family,296
know,287
thank,262
sorry,222
want,209
god,199
like,184
say,163
just,149
make,149
lord,141
statement,139
life,138
ll,136
going,131
forgive,128
hope,124
tell,124
did,113
don,113
people,113
offender,109
declined,108
yes,108
peace,103
warden,102
jesus,100
ya,99
strong,88
death,86
ready,85
let,81
ask,80
father,79
heart,74
everybody,72
pain,69
man,67
home,65
friends,63
come,62
right,62
stay,61
years,61
care,60
pray,55
got,54
christ,53
time,53
forgiveness,51
caused,49
mom,47
innocent,46
loved,44
sir,44
way,44
bless,42
support,41
ve,41
apologize,40
good,40
world,40
didn,39
heaven,39
row,39
lot,38
allah,37
day,37
continue,35
sister,35
tonight,34
said,33
son,33
things,33
yall,33
im,32
today,32
wish,32
happened,31
really,31
thing,31
mr,30
thanks,30
brother,29
mother,29
appreciate,28
hate,28
brothers,27
kill,27
murder,27
ones,27
spirit,27
think,27
truth,27
wrong,27
help,26
hurt,26
texas,26
thy,26
better,25
feel,25
justice,25
look,25
place,25
alright,24
goodbye,24
holy,24
mercy,24
need,24
thats,24
truly,24
understand,24
wanted,24
believe,23
guys,23
soul,23
told,23
victim,23
doing,22
killing,22
live,22
long,22
sins,22
best,21
closure,21
john,21
ah,20
amen,20
die,20
hold,20
kids,20
bring,19
change,19
crime,19
free,19
gonna,19
hearts,19
praise,19
remember,19
stop,19
wife,19
witness,19
coming,18
dad,18
heads,18
irene,18
leave,18
mean,18
state,18
talk,18
words,18
children,17
daughter,17
end,17
fight,17
head,17
strength,17
sure,17
trial,17
baby,16
beautiful,16
faith,16
gave,16
happening,16
happy,16
killed,16
mama,16
momma,16
ms,16
okay,16
person,16
real,16
suffering,16
anybody,15
black,15
bye,15
court,15
does,15
evil,15
forgiven,15
forward,15
great,15
hear,15
house,15
jack,15
letter,15
little,15
shall,15
thought,15
waiting,15
bad,14
brought,14
days,14
earth,14
friend,14
took,14
victims,14
america,13
chance,13
fear,13
forever,13
goes,13
helped,13
mad,13
ok,13
point,13
power,13
prayer,13
reason,13
taking,13
comfort,12
died,12
execution,12
eyes,12
given,12
lives,12
lost,12
loving,12
penalty,12
police,12
rest,12
saying,12
standing,12
thou,12
won,12
written,12
address,11
ago,11
ahead,11
ain,11
asked,11
attorney,11
blessing,11
came,11
cause,11
commit,11
deserve,11
dont,11
forget,11
glory,11
happen,11
hard,11
knows,11
learn,11
left,11
lie,11
lynching,11
someday,11
walk,11
work,11
able,10
almighty,10
face,10
guess,10
ill,10
ive,10
kingdom,10
later,10
loves,10
meant,10
mistake,10
mrs,10
parents,10
showed,10
shown,10
sisters,10
supporting,10
worry,10
away,9
bear,9
brings,9
carry,9
chaplain,9
country,9
extend,9
fine,9
finished,9
giving,9
gone,9
grace,9
hands,9
having,9
human,9
knew,9
looking,9
loss,9
mary,9
miss,9
officer,9
oh,9
past,9
prison,9
respect,9
return,9
stand,9
supported,9
taken,9
unto,9
wasn,9
watch,9
accept,8
anger,8
art,8
big,8
bitterness,8
body,8
called,8
david,8
donna,8
evidence,8
friendship,8
guilty,8
happiness,8
heavenly,8
honor,8
james,8
kathy,8
merciful,8
mistakes,8
officers,8
precious,8
promise,8
sentence,8
shot,8
society,8
somebody,8
soon,8
spanish,8
struggle,8
unintelligible,8
use,8
went,8
wonderful,8
actions,7
american,7
angry,7
attorneys,7
blessed,7
bobby,7
case,7
committed,7
confess,7
daddy,7
dear,7
dearly,7
families,7
freedom,7
glad,7
grief,7
hurting,7
innocence,7
isn,7
kind,7
king,7
law,7
lawyers,7
marching,7
matter,7
men,7
mexico,7
michael,7
night,7
paid,7
prove,7
putting,7
sake,7
save,7
saved,7
send,7
situation,7
sleep,7
surely,7
times,7
touch,7
trying,7
angel,6
boswell,6
boy,6
changed,6
child,6
church,6
convicted,6
couldn,6
crying,6
dead,6
defense,6
deliver,6
doesn,6
dying,6
enemies,6
especially,6
executed,6
fighting,6
fixing,6
follow,6
forgotten,6
future,6
girl,6
gods,6
gun,6
hatred,6
hell,6
lay,6
lead,6
meet,6
members,6
mind,6
moment,6
needs,6
opportunity,6
polunsky,6
praying,6
present,6
press,6
probably,6
proud,6
raised,6
reach,6
remorse,6
responsibility,6
ride,6
rosalyn,6
